Block number	Number of particles	Time elapsed
16	10.000000	10.000000
16	1009.000000	1009.000000
16	2008.000000	2008.000000
16	3007.000000	3007.000000
16	4006.000000	4006.000000
16	5005.000000	5005.000000
16	6004.000000	6004.000000
16	7003.000000	7003.000000
16	8002.000000	8002.000000
16	9001.000000	9001.000000
32	10.000000	10.000000
32	1009.000000	1009.000000
32	2008.000000	2008.000000
32	3007.000000	3007.000000
32	4006.000000	4006.000000
32	5005.000000	5005.000000
32	6004.000000	6004.000000
32	7003.000000	7003.000000
32	8002.000000	8002.000000
32	9001.000000	9001.000000
64	10.000000	10.000000
64	1009.000000	1009.000000
64	2008.000000	2008.000000
64	3007.000000	3007.000000
64	4006.000000	4006.000000
64	5005.000000	5005.000000
64	6004.000000	6004.000000
64	7003.000000	7003.000000
64	8002.000000	8002.000000
64	9001.000000	9001.000000
128	10.000000	10.000000
128	1009.000000	1009.000000
128	2008.000000	2008.000000
128	3007.000000	3007.000000
128	4006.000000	4006.000000
128	5005.000000	5005.000000
128	6004.000000	6004.000000
128	7003.000000	7003.000000
128	8002.000000	8002.000000
128	9001.000000	9001.000000
256	10.000000	10.000000
256	1009.000000	1009.000000
256	2008.000000	2008.000000
256	3007.000000	3007.000000
256	4006.000000	4006.000000
256	5005.000000	5005.000000
256	6004.000000	6004.000000
256	7003.000000	7003.000000
256	8002.000000	8002.000000
256	9001.000000	9001.000000
